RUN	PerformanceTest	performancetest	1549555994276	 	3.0.3
USER	OrderItemsAndAcceptOrder	29	START	1549555998298	1549555998298
REQUEST	23		Login as a Client	1549555997702	1549555998314	OK	 
REQUEST	3		View Order Page	1549555998370	1549555998377	OK	 
USER	OrderItemsAndAcceptOrder	30	START	1549555998400	1549555998400
REQUEST	24		Login as a Client	1549555997801	1549555998413	OK	 
REQUEST	4		View Order Page	1549555998471	1549555998477	OK	 
USER	OrderItemsAndAcceptOrder	31	START	1549555998500	1549555998500
REQUEST	25		Login as a Client	1549555997901	1549555998511	OK	 
REQUEST	5		View Order Page	1549555998569	1549555998576	OK	 
USER	OrderItemsAndAcceptOrder	32	START	1549555998610	1549555998610
REQUEST	26		Login as a Client	1549555998000	1549555998611	OK	 
REQUEST	6		View Order Page	1549555998672	1549555998679	OK	 
USER	OrderItemsAndAcceptOrder	33	START	1549555998709	1549555998709
REQUEST	27		Login as a Client	1549555998100	1549555998712	OK	 
REQUEST	7		View Order Page	1549555998771	1549555998778	OK	 
REQUEST	28		Login as a Client	1549555998201	1549555998808	OK	 
USER	OrderItemsAndAcceptOrder	34	START	1549555998809	1549555998809
REQUEST	8		View Order Page	1549555998871	1549555998878	OK	 
USER	OrderItemsAndAcceptOrder	35	START	1549555998910	1549555998910
REQUEST	29		Login as a Client	1549555998299	1549555998913	OK	 
REQUEST	9		View Order Page	1549555998961	1549555998968	OK	 
USER	OrderItemsAndAcceptOrder	36	START	1549555999010	1549555999010
REQUEST	30		Login as a Client	1549555998401	1549555999013	OK	 
REQUEST	10		View Order Page	1549555999058	1549555999063	OK	 
USER	OrderItemsAndAcceptOrder	37	START	1549555999110	1549555999110
REQUEST	31		Login as a Client	1549555998501	1549555999114	OK	 
REQUEST	11		View Order Page	1549555999169	1549555999174	OK	 
USER	OrderItemsAndAcceptOrder	38	START	1549555999209	1549555999209
REQUEST	32		Login as a Client	1549555998611	1549555999222	OK	 
REQUEST	12		View Order Page	1549555999259	1549555999264	OK	 
USER	OrderItemsAndAcceptOrder	39	START	1549555999310	1549555999310
REQUEST	33		Login as a Client	1549555998710	1549555999316	OK	 
REQUEST	13		View Order Page	1549555999361	1549555999366	OK	 
USER	OrderItemsAndAcceptOrder	40	START	1549555999409	1549555999409
REQUEST	34		Login as a Client	1549555998810	1549555999420	OK	 
REQUEST	14		View Order Page	1549555999461	1549555999466	OK	 
USER	OrderItemsAndAcceptOrder	41	START	1549555999510	1549555999510
REQUEST	35		Login as a Client	1549555998911	1549555999522	OK	 
REQUEST	15		View Order Page	1549555999560	1549555999567	OK	 
USER	OrderItemsAndAcceptOrder	42	START	1549555999610	1549555999610
REQUEST	36		Login as a Client	1549555999010	1549555999622	OK	 
REQUEST	16		View Order Page	1549555999660	1549555999666	OK	 
USER	OrderItemsAndAcceptOrder	43	START	1549555999709	1549555999709
REQUEST	37		Login as a Client	1549555999111	1549555999722	OK	 
REQUEST	17		View Order Page	1549555999761	1549555999765	OK	 
USER	OrderItemsAndAcceptOrder	44	START	1549555999808	1549555999808
REQUEST	38		Login as a Client	1549555999210	1549555999817	OK	 
REQUEST	18		View Order Page	1549555999861	1549555999868	OK	 
USER	OrderItemsAndAcceptOrder	45	START	1549555999909	1549555999909
REQUEST	39		Login as a Client	1549555999311	1549555999920	OK	 
REQUEST	19		View Order Page	1549555999961	1549555999968	OK	 
USER	OrderItemsAndAcceptOrder	46	START	1549556000010	1549556000010
REQUEST	40		Login as a Client	1549555999410	1549556000016	OK	 
REQUEST	20		View Order Page	1549556000060	1549556000066	OK	 
USER	OrderItemsAndAcceptOrder	47	START	1549556000108	1549556000108
REQUEST	41		Login as a Client	1549555999510	1549556000117	OK	 
REQUEST	21		View Order Page	1549556000162	1549556000169	OK	 
REQUEST	1		Current User	1549556000190	1549556000193	OK	 
USER	OrderItemsAndAcceptOrder	48	START	1549556000211	1549556000211
REQUEST	42		Login as a Client	1549555999611	1549556000220	OK	 
REQUEST	22		View Order Page	1549556000229	1549556000234	OK	 
REQUEST	2		Current User	1549556000282	1549556000285	OK	 
USER	OrderItemsAndAcceptOrder	49	START	1549556000310	1549556000310
REQUEST	43		Login as a Client	1549555999710	1549556000320	OK	 
REQUEST	23		View Order Page	1549556000332	1549556000340	OK	 
REQUEST	3		Current User	1549556000381	1549556000385	OK	 
USER	OrderItemsAndAcceptOrder	50	START	1549556000410	1549556000410
REQUEST	44		Login as a Client	1549555999809	1549556000420	OK	 
REQUEST	24		View Order Page	1549556000431	1549556000438	OK	 
REQUEST	4		Current User	1549556000490	1549556000493	OK	 
USER	OrderItemsAndAcceptOrder	51	START	1549556000510	1549556000510
REQUEST	45		Login as a Client	1549555999909	1549556000517	OK	 
REQUEST	25		View Order Page	1549556000531	1549556000539	OK	 
REQUEST	5		Current User	1549556000579	1549556000582	OK	 
USER	OrderItemsAndAcceptOrder	52	START	1549556000610	1549556000610
REQUEST	46		Login as a Client	1549556000011	1549556000621	OK	 
REQUEST	26		View Order Page	1549556000631	1549556000639	OK	 
REQUEST	6		Current User	1549556000690	1549556000694	OK	 
USER	OrderItemsAndAcceptOrder	53	START	1549556000708	1549556000708
REQUEST	47		Login as a Client	1549556000109	1549556000716	OK	 
REQUEST	27		View Order Page	1549556000732	1549556000740	OK	 
REQUEST	7		Current User	1549556000791	1549556000794	OK	 
USER	OrderItemsAndAcceptOrder	54	START	1549556000810	1549556000810
REQUEST	48		Login as a Client	1549556000211	1549556000822	OK	 
REQUEST	28		View Order Page	1549556000829	1549556000832	OK	 
REQUEST	8		Current User	1549556000882	1549556000885	OK	 
USER	OrderItemsAndAcceptOrder	55	START	1549556000911	1549556000911
REQUEST	49		Login as a Client	1549556000311	1549556000920	OK	 
REQUEST	29		View Order Page	1549556000931	1549556000940	OK	 
REQUEST	9		Current User	1549556000970	1549556000973	OK	 
USER	OrderItemsAndAcceptOrder	56	START	1549556001010	1549556001010
REQUEST	50		Login as a Client	1549556000411	1549556001021	OK	 
REQUEST	30		View Order Page	1549556001029	1549556001036	OK	 
REQUEST	10		Current User	1549556001069	1549556001071	OK	 
USER	OrderItemsAndAcceptOrder	57	START	1549556001110	1549556001110
REQUEST	51		Login as a Client	1549556000511	1549556001117	OK	 
REQUEST	31		View Order Page	1549556001130	1549556001136	OK	 
REQUEST	11		Current User	1549556001170	1549556001174	OK	 
USER	OrderItemsAndAcceptOrder	58	START	1549556001209	1549556001209
REQUEST	52		Login as a Client	1549556000611	1549556001218	OK	 
REQUEST	32		View Order Page	1549556001241	1549556001247	OK	 
REQUEST	12		Current User	1549556001269	1549556001274	OK	 
USER	OrderItemsAndAcceptOrder	59	START	1549556001310	1549556001310
REQUEST	53		Login as a Client	1549556000709	1549556001319	OK	 
REQUEST	33		View Order Page	1549556001331	1549556001337	OK	 
REQUEST	13		Current User	1549556001370	1549556001374	OK	 
USER	OrderItemsAndAcceptOrder	60	START	1549556001409	1549556001409
REQUEST	54		Login as a Client	1549556000811	1549556001420	OK	 
REQUEST	34		View Order Page	1549556001439	1549556001445	OK	 
REQUEST	14		Current User	1549556001470	1549556001474	OK	 
USER	OrderItemsAndAcceptOrder	61	START	1549556001510	1549556001510
REQUEST	55		Login as a Client	1549556000912	1549556001521	OK	 
REQUEST	35		View Order Page	1549556001538	1549556001543	OK	 
REQUEST	15		Current User	1549556001570	1549556001574	OK	 
USER	OrderItemsAndAcceptOrder	62	START	1549556001609	1549556001609
REQUEST	56		Login as a Client	1549556001011	1549556001620	OK	 
REQUEST	36		View Order Page	1549556001641	1549556001647	OK	 
REQUEST	16		Current User	1549556001661	1549556001664	OK	 
USER	OrderItemsAndAcceptOrder	63	START	1549556001709	1549556001709
REQUEST	57		Login as a Client	1549556001111	1549556001722	OK	 
REQUEST	37		View Order Page	1549556001741	1549556001747	OK	 
REQUEST	17		Current User	1549556001769	1549556001773	OK	 
USER	OrderItemsAndAcceptOrder	64	START	1549556001809	1549556001809
REQUEST	58		Login as a Client	1549556001210	1549556001817	OK	 
REQUEST	38		View Order Page	1549556001840	1549556001846	OK	 
REQUEST	18		Current User	1549556001881	1549556001883	OK	 
USER	OrderItemsAndAcceptOrder	65	START	1549556001910	1549556001910
REQUEST	59		Login as a Client	1549556001311	1549556001921	OK	 
REQUEST	39		View Order Page	1549556001941	1549556001947	OK	 
REQUEST	19		Current User	1549556001981	1549556001985	OK	 
USER	OrderItemsAndAcceptOrder	66	START	1549556002008	1549556002008
REQUEST	60		Login as a Client	1549556001410	1549556002020	OK	 
REQUEST	40		View Order Page	1549556002031	1549556002036	OK	 
REQUEST	20		Current User	1549556002070	1549556002074	OK	 
USER	OrderItemsAndAcceptOrder	67	START	1549556002111	1549556002111
REQUEST	61		Login as a Client	1549556001510	1549556002122	OK	 
REQUEST	41		View Order Page	1549556002132	1549556002135	OK	 
REQUEST	21		Current User	1549556002178	1549556002181	OK	 
USER	OrderItemsAndAcceptOrder	68	START	1549556002209	1549556002209
REQUEST	62		Login as a Client	1549556001610	1549556002217	OK	 
REQUEST	22		Current User	1549556002239	1549556002242	OK	 
REQUEST	42		View Order Page	1549556002239	1549556002244	OK	 
REQUEST	1		Add Order	1549556002192	1549556002197	OK	 
REQUEST	2		Add Order	1549556002280	1549556002286	OK	 
USER	OrderItemsAndAcceptOrder	69	START	1549556002308	1549556002308
REQUEST	63		Login as a Client	1549556001710	1549556002316	OK	 
REQUEST	43		View Order Page	1549556002340	1549556002345	OK	 
REQUEST	23		Current User	1549556002348	1549556002350	OK	 
REQUEST	3		Add Order	1549556002380	1549556002386	OK	 
USER	OrderItemsAndAcceptOrder	70	START	1549556002410	1549556002410
REQUEST	64		Login as a Client	1549556001809	1549556002420	OK	 
REQUEST	44		View Order Page	1549556002441	1549556002445	OK	 
REQUEST	24		Current User	1549556002449	1549556002451	OK	 
REQUEST	4		Add Order	1549556002478	1549556002484	OK	 
USER	OrderItemsAndAcceptOrder	71	START	1549556002510	1549556002510
REQUEST	65		Login as a Client	1549556001911	1549556002521	OK	 
REQUEST	45		View Order Page	1549556002531	1549556002536	OK	 
REQUEST	25		Current User	1549556002541	1549556002543	OK	 
REQUEST	5		Add Order	1549556002590	1549556002595	OK	 
USER	OrderItemsAndAcceptOrder	72	START	1549556002611	1549556002611
REQUEST	66		Login as a Client	1549556002009	1549556002615	OK	 
REQUEST	26		Current User	1549556002640	1549556002642	OK	 
REQUEST	46		View Order Page	1549556002640	1549556002645	OK	 
REQUEST	6		Add Order	1549556002691	1549556002696	OK	 
USER	OrderItemsAndAcceptOrder	73	START	1549556002709	1549556002709
REQUEST	67		Login as a Client	1549556002111	1549556002721	OK	 
REQUEST	47		View Order Page	1549556002729	1549556002732	OK	 
REQUEST	27		Current User	1549556002750	1549556002752	OK	 
REQUEST	7		Add Order	1549556002790	1549556002795	OK	 
USER	OrderItemsAndAcceptOrder	74	START	1549556002810	1549556002810
REQUEST	68		Login as a Client	1549556002209	1549556002818	OK	 
REQUEST	28		Current User	1549556002828	1549556002829	OK	 
REQUEST	48		View Order Page	1549556002840	1549556002844	OK	 
REQUEST	8		Add Order	1549556002880	1549556002884	OK	 
USER	OrderItemsAndAcceptOrder	75	START	1549556002910	1549556002910
REQUEST	69		Login as a Client	1549556002309	1549556002916	OK	 
REQUEST	49		View Order Page	1549556002938	1549556002943	OK	 
REQUEST	29		Current User	1549556002950	1549556002952	OK	 
REQUEST	9		Add Order	1549556002971	1549556002976	OK	 
USER	OrderItemsAndAcceptOrder	76	START	1549556003010	1549556003010
REQUEST	70		Login as a Client	1549556002410	1549556003015	OK	 
REQUEST	30		Current User	1549556003041	1549556003043	OK	 
REQUEST	50		View Order Page	1549556003041	1549556003046	OK	 
REQUEST	10		Add Order	1549556003069	1549556003074	OK	 
USER	OrderItemsAndAcceptOrder	77	START	1549556003110	1549556003110
REQUEST	71		Login as a Client	1549556002510	1549556003117	OK	 
REQUEST	51		View Order Page	1549556003131	1549556003137	OK	 
REQUEST	31		Current User	1549556003141	1549556003143	OK	 
REQUEST	11		Add Order	1549556003178	1549556003183	OK	 
USER	OrderItemsAndAcceptOrder	78	START	1549556003208	1549556003208
REQUEST	72		Login as a Client	1549556002611	1549556003220	OK	 
REQUEST	52		View Order Page	1549556003240	1549556003246	OK	 
REQUEST	32		Current User	1549556003248	1549556003250	OK	 
REQUEST	12		Add Order	1549556003269	1549556003274	OK	 
USER	OrderItemsAndAcceptOrder	79	START	1549556003310	1549556003310
REQUEST	73		Login as a Client	1549556002710	1549556003316	OK	 
REQUEST	33		Current User	1549556003340	1549556003342	OK	 
REQUEST	53		View Order Page	1549556003340	1549556003346	OK	 
REQUEST	13		Add Order	1549556003369	1549556003374	OK	 
USER	OrderItemsAndAcceptOrder	80	START	1549556003409	1549556003409
REQUEST	74		Login as a Client	1549556002811	1549556003416	OK	 
REQUEST	54		View Order Page	1549556003440	1549556003448	OK	 
REQUEST	34		Current User	1549556003449	1549556003451	OK	 
REQUEST	14		Add Order	1549556003469	1549556003476	OK	 
USER	OrderItemsAndAcceptOrder	81	START	1549556003510	1549556003510
REQUEST	75		Login as a Client	1549556002910	1549556003517	OK	 
REQUEST	35		Current User	1549556003548	1549556003551	OK	 
REQUEST	55		View Order Page	1549556003539	1549556003551	OK	 
REQUEST	15		Add Order	1549556003581	1549556003591	OK	 
USER	OrderItemsAndAcceptOrder	82	START	1549556003610	1549556003610
REQUEST	76		Login as a Client	1549556003011	1549556003620	OK	 
REQUEST	56		View Order Page	1549556003639	1549556003650	OK	 
REQUEST	36		Current User	1549556003649	1549556003652	OK	 
REQUEST	16		Add Order	1549556003669	1549556003675	OK	 
USER	OrderItemsAndAcceptOrder	83	START	1549556003709	1549556003709
REQUEST	77		Login as a Client	1549556003110	1549556003716	OK	 
REQUEST	57		View Order Page	1549556003739	1549556003748	OK	 
REQUEST	37		Current User	1549556003751	1549556003753	OK	 
REQUEST	17		Add Order	1549556003770	1549556003776	OK	 
USER	OrderItemsAndAcceptOrder	84	START	1549556003810	1549556003810
REQUEST	78		Login as a Client	1549556003209	1549556003816	OK	 
REQUEST	38		Current User	1549556003840	1549556003842	OK	 
REQUEST	58		View Order Page	1549556003830	1549556003843	OK	 
REQUEST	18		Add Order	1549556003869	1549556003874	OK	 
USER	OrderItemsAndAcceptOrder	85	START	1549556003908	1549556003908
REQUEST	79		Login as a Client	1549556003311	1549556003925	OK	 
REQUEST	39		Current User	1549556003948	1549556003950	OK	 
REQUEST	59		View Order Page	1549556003940	1549556003952	OK	 
REQUEST	19		Add Order	1549556003981	1549556003989	OK	 
USER	OrderItemsAndAcceptOrder	86	START	1549556004009	1549556004009
REQUEST	80		Login as a Client	1549556003410	1549556004018	OK	 
REQUEST	40		Current User	1549556004040	1549556004043	OK	 
REQUEST	60		View Order Page	1549556004040	1549556004052	OK	 
REQUEST	20		Add Order	1549556004079	1549556004084	OK	 
USER	OrderItemsAndAcceptOrder	87	START	1549556004109	1549556004109
REQUEST	81		Login as a Client	1549556003511	1549556004121	OK	 
REQUEST	41		Current User	1549556004140	1549556004142	OK	 
REQUEST	61		View Order Page	1549556004140	1549556004150	OK	 
REQUEST	21		Add Order	1549556004180	1549556004187	OK	 
REQUEST	1		Client Logout	1549556004201	1549556004205	OK	 
USER	OrderItemsAndAcceptOrder	88	START	1549556004210	1549556004210
REQUEST	1		Client Logout Redirect 1	1549556004211	1549556004212	OK	 
REQUEST	1		Client Logout Redirect 2	1549556004213	1549556004216	OK	 
REQUEST	82		Login as a Client	1549556003611	1549556004216	OK	 
REQUEST	62		View Order Page	1549556004231	1549556004241	OK	 
REQUEST	22		Add Order	1549556004238	1549556004243	OK	 
REQUEST	42		Current User	1549556004249	1549556004251	OK	 
REQUEST	2		Client Logout	1549556004289	1549556004291	OK	 
REQUEST	2		Client Logout Redirect 1	1549556004292	1549556004293	OK	 
REQUEST	2		Client Logout Redirect 2	1549556004294	1549556004296	OK	 
USER	OrderItemsAndAcceptOrder	89	START	1549556004309	1549556004309
REQUEST	83		Login as a Client	1549556003709	1549556004317	OK	 
REQUEST	63		View Order Page	1549556004332	1549556004347	OK	 
REQUEST	43		Current User	1549556004348	1549556004350	OK	 
REQUEST	23		Add Order	1549556004348	1549556004353	OK	 
REQUEST	3		Client Logout	1549556004389	1549556004391	OK	 
REQUEST	3		Client Logout Redirect 1	1549556004391	1549556004393	OK	 
REQUEST	3		Client Logout Redirect 2	1549556004393	1549556004396	OK	 
USER	OrderItemsAndAcceptOrder	90	START	1549556004408	1549556004408
REQUEST	84		Login as a Client	1549556003811	1549556004420	OK	 
REQUEST	44		Current User	1549556004441	1549556004443	OK	 
REQUEST	24		Add Order	1549556004441	1549556004451	OK	 
REQUEST	64		View Order Page	1549556004441	1549556004455	OK	 
REQUEST	4		Client Logout	1549556004492	1549556004494	OK	 
REQUEST	4		Client Logout Redirect 1	1549556004495	1549556004497	OK	 
REQUEST	4		Client Logout Redirect 2	1549556004498	1549556004502	OK	 
USER	OrderItemsAndAcceptOrder	91	START	1549556004510	1549556004510
REQUEST	85		Login as a Client	1549556003909	1549556004526	OK	 
REQUEST	45		Current User	1549556004541	1549556004542	OK	 
REQUEST	25		Add Order	1549556004541	1549556004545	OK	 
REQUEST	65		View Order Page	1549556004541	1549556004551	OK	 
REQUEST	5		Client Logout	1549556004591	1549556004592	OK	 
REQUEST	5		Client Logout Redirect 1	1549556004593	1549556004594	OK	 
REQUEST	5		Client Logout Redirect 2	1549556004595	1549556004597	OK	 
USER	OrderItemsAndAcceptOrder	92	START	1549556004609	1549556004609
REQUEST	86		Login as a Client	1549556004009	1549556004616	OK	 
REQUEST	66		View Order Page	1549556004630	1549556004644	OK	 
REQUEST	26		Add Order	1549556004640	1549556004644	OK	 
REQUEST	46		Current User	1549556004648	1549556004650	OK	 
REQUEST	6		Client Logout	1549556004690	1549556004692	OK	 
REQUEST	6		Client Logout Redirect 1	1549556004693	1549556004694	OK	 
REQUEST	6		Client Logout Redirect 2	1549556004695	1549556004697	OK	 
USER	OrderItemsAndAcceptOrder	93	START	1549556004708	1549556004708
REQUEST	87		Login as a Client	1549556004110	1549556004716	OK	 
REQUEST	47		Current User	1549556004741	1549556004745	OK	 
REQUEST	27		Add Order	1549556004749	1549556004755	OK	 
REQUEST	67		View Order Page	1549556004741	1549556004755	OK	 
REQUEST	7		Client Logout	1549556004790	1549556004792	OK	 
REQUEST	7		Client Logout Redirect 1	1549556004792	1549556004793	OK	 
REQUEST	7		Client Logout Redirect 2	1549556004794	1549556004796	OK	 
USER	OrderItemsAndAcceptOrder	94	START	1549556004810	1549556004810
REQUEST	88		Login as a Client	1549556004211	1549556004816	OK	 
REQUEST	1		Login as a Employee	1549556004217	1549556004820	OK	 
REQUEST	68		View Order Page	1549556004828	1549556004841	OK	 
REQUEST	28		Add Order	1549556004839	1549556004844	OK	 
REQUEST	48		Current User	1549556004849	1549556004850	OK	 
REQUEST	8		Client Logout	1549556004889	1549556004890	OK	 
REQUEST	8		Client Logout Redirect 1	1549556004891	1549556004892	OK	 
REQUEST	8		Client Logout Redirect 2	1549556004893	1549556004895	OK	 
REQUEST	2		Login as a Employee	1549556004297	1549556004904	OK	 
USER	OrderItemsAndAcceptOrder	95	START	1549556004909	1549556004909
REQUEST	89		Login as a Client	1549556004310	1549556004919	OK	 
REQUEST	69		View Order Page	1549556004930	1549556004940	OK	 
REQUEST	49		Current User	1549556004948	1549556004950	OK	 
REQUEST	29		Add Order	1549556004948	1549556004953	OK	 
REQUEST	9		Client Logout	1549556004969	1549556004970	OK	 
REQUEST	9		Client Logout Redirect 1	1549556004971	1549556004972	OK	 
REQUEST	9		Client Logout Redirect 2	1549556004972	1549556004974	OK	 
REQUEST	3		Login as a Employee	1549556004396	1549556005002	OK	 
USER	OrderItemsAndAcceptOrder	96	START	1549556005010	1549556005010
REQUEST	90		Login as a Client	1549556004409	1549556005016	OK	 
REQUEST	70		View Order Page	1549556005029	1549556005037	OK	 
REQUEST	30		Add Order	1549556005038	1549556005042	OK	 
REQUEST	50		Current User	1549556005050	1549556005052	OK	 
REQUEST	10		Client Logout	1549556005068	1549556005070	OK	 
REQUEST	10		Client Logout Redirect 1	1549556005070	1549556005071	OK	 
REQUEST	10		Client Logout Redirect 2	1549556005072	1549556005074	OK	 
USER	OrderItemsAndAcceptOrder	97	START	1549556005108	1549556005108
REQUEST	4		Login as a Employee	1549556004503	1549556005110	OK	 
REQUEST	91		Login as a Client	1549556004511	1549556005115	OK	 
REQUEST	51		Current User	1549556005139	1549556005140	OK	 
REQUEST	31		Add Order	1549556005139	1549556005143	OK	 
REQUEST	71		View Order Page	1549556005139	1549556005147	OK	 
REQUEST	11		Client Logout	1549556005178	1549556005179	OK	 
REQUEST	11		Client Logout Redirect 1	1549556005180	1549556005181	OK	 
REQUEST	11		Client Logout Redirect 2	1549556005182	1549556005185	OK	 
REQUEST	5		Login as a Employee	1549556004598	1549556005201	OK	 
USER	OrderItemsAndAcceptOrder	98	START	1549556005208	1549556005208
REQUEST	92		Login as a Client	1549556004610	1549556005215	OK	 
REQUEST	52		Current User	1549556005240	1549556005241	OK	 
REQUEST	72		View Order Page	1549556005240	1549556005248	OK	 
REQUEST	32		Add Order	1549556005261	1549556005264	OK	 
REQUEST	12		Client Logout	1549556005280	1549556005281	OK	 
REQUEST	12		Client Logout Redirect 1	1549556005281	1549556005282	OK	 
REQUEST	12		Client Logout Redirect 2	1549556005283	1549556005286	OK	 
REQUEST	6		Login as a Employee	1549556004698	1549556005303	OK	 
USER	OrderItemsAndAcceptOrder	99	START	1549556005310	1549556005310
REQUEST	93		Login as a Client	1549556004709	1549556005316	OK	 
REQUEST	53		Current User	1549556005338	1549556005340	OK	 
REQUEST	73		View Order Page	1549556005331	1549556005341	OK	 
REQUEST	33		Add Order	1549556005350	1549556005354	OK	 
REQUEST	13		Client Logout	1549556005380	1549556005381	OK	 
REQUEST	13		Client Logout Redirect 1	1549556005382	1549556005383	OK	 
REQUEST	13		Client Logout Redirect 2	1549556005384	1549556005386	OK	 
REQUEST	7		Login as a Employee	1549556004797	1549556005403	OK	 
USER	OrderItemsAndAcceptOrder	100	START	1549556005408	1549556005408
REQUEST	94		Login as a Client	1549556004811	1549556005416	OK	 
REQUEST	54		Current User	1549556005439	1549556005440	OK	 
REQUEST	74		View Order Page	1549556005430	1549556005440	OK	 
REQUEST	34		Add Order	1549556005448	1549556005452	OK	 
REQUEST	14		Client Logout	1549556005479	1549556005480	OK	 
REQUEST	14		Client Logout Redirect 1	1549556005481	1549556005482	OK	 
REQUEST	14		Client Logout Redirect 2	1549556005482	1549556005485	OK	 
REQUEST	8		Login as a Employee	1549556004896	1549556005502	OK	 
REQUEST	95		Login as a Client	1549556004909	1549556005516	OK	 
REQUEST	75		View Order Page	1549556005528	1549556005536	OK	 
REQUEST	35		Add Order	1549556005549	1549556005554	OK	 
REQUEST	55		Current User	1549556005560	1549556005561	OK	 
REQUEST	9		Login as a Employee	1549556004975	1549556005583	OK	 
REQUEST	15		Client Logout	1549556005590	1549556005591	OK	 
REQUEST	15		Client Logout Redirect 1	1549556005592	1549556005593	OK	 
REQUEST	15		Client Logout Redirect 2	1549556005594	1549556005596	OK	 
REQUEST	96		Login as a Client	1549556005011	1549556005616	OK	 
REQUEST	76		View Order Page	1549556005638	1549556005647	OK	 
REQUEST	36		Add Order	1549556005651	1549556005655	OK	 
REQUEST	56		Current User	1549556005660	1549556005662	OK	 
REQUEST	16		Client Logout	1549556005670	1549556005672	OK	 
REQUEST	16		Client Logout Redirect 1	1549556005673	1549556005674	OK	 
REQUEST	16		Client Logout Redirect 2	1549556005675	1549556005677	OK	 
REQUEST	10		Login as a Employee	1549556005074	1549556005680	OK	 
REQUEST	97		Login as a Client	1549556005109	1549556005716	OK	 
REQUEST	77		View Order Page	1549556005730	1549556005739	OK	 
REQUEST	57		Current User	1549556005749	1549556005751	OK	 
REQUEST	37		Add Order	1549556005749	1549556005754	OK	 
REQUEST	17		Client Logout	1549556005780	1549556005781	OK	 
REQUEST	17		Client Logout Redirect 1	1549556005782	1549556005783	OK	 
REQUEST	17		Client Logout Redirect 2	1549556005784	1549556005786	OK	 
REQUEST	11		Login as a Employee	1549556005185	1549556005793	OK	 
REQUEST	98		Login as a Client	1549556005209	1549556005816	OK	 
